site_id,site_name,cap_frames,cap_rows_all_ranks,cap_ranks_per_frame,cap_start_utc,cap_start_local,cap_tz_offset_hours,cap_duration_s,cap_frames_per_s,cap_gps_accuracy_median_m,cap_gps_accuracy_max_m,cap_inference_ms_median,cap_model,cap_dtype,cap_backend,cap_frame_size,geo_lat_median,geo_lon_median,geo_lat_min,geo_lat_max,geo_lon_min,geo_lon_max,geo_extent_x_m,geo_extent_z_m,geo_path_length_m,geo_unique_gps_fixes,geo_gps_fix_ratio,geo_step_median_m,mod_confidence_mean,mod_confidence_max,mod_confidence_p10,mod_confidence_p25,mod_confidence_p50,mod_confidence_p75,mod_confidence_p90,mod_margin_p25,mod_margin_p50,mod_margin_p75,mod_below_005,mod_below_010,mod_below_020,voc_labels_distinct,voc_type_token_ratio,voc_entropy_bits,voc_entropy_max_bits,voc_evenness,voc_top5_share,voc_words_per_label_mean,voc_words_per_label_max,voc_multiword_share,top_label,top_label_share
indianola,Indianola Avenue,164,492,3,2026-08-28T12:29:29.269000+00:00,2026-08-28 08:29:29,-4,127.2,1.29,14.1,21.8,73,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,480x640,40.025328,-83.001543,40.024421,40.02615,-83.00178,-83.001374,34.6,192.5,218.0,37,0.226,3.54,0.311,0.831,0.125,0.189,0.283,0.4,0.517,0.052,0.135,0.293,0.0,0.043,0.274,13,0.079,2.6,3.7,0.703,0.878,4.9,10,0.768,"streetcar, tram, tramcar, trolley, trolley car",0.427
oval-park,The Oval,164,492,3,2026-08-26T15:59:09.206000+00:00,2026-08-26 11:59:09,-4,126.3,1.3,15.0,33.9,65,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,480x640,39.999561,-83.011432,39.998951,39.999819,-83.011604,-83.011366,20.3,96.6,131.3,43,0.262,0.79,0.204,0.877,0.044,0.071,0.134,0.251,0.527,0.016,0.04,0.127,0.128,0.378,0.683,23,0.14,3.57,4.52,0.79,0.683,2.81,8,0.323,"lakeside, lakeshore",0.183
