timestamp,lat,lon,gps_accuracy,gps_timestamp,model,dtype,device,label,confidence,rank,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,bbox_norm_xmin,bbox_norm_ymin,bbox_norm_xmax,bbox_norm_ymax,frame_w,frame_h,inference_ms
1787759949206,39.99981942,-83.01158945,16.84593020702896,1787759945104,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"maze, labyrinth",0.077,1,,,,,,,,,480,640,69
1787759949206,39.99981942,-83.01158945,16.84593020702896,1787759945104,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"sundial",0.051,2,,,,,,,,,480,640,69
1787759949206,39.99981942,-83.01158945,16.84593020702896,1787759945104,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"park bench",0.043,3,,,,,,,,,480,640,69
1787759949994,39.99981942,-83.01158945,16.84593020702896,1787759945104,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"maze, labyrinth",0.119,1,,,,,,,,,480,640,74.99999999994179
1787759949994,39.99981942,-83.01158945,16.84593020702896,1787759945104,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"sundial",0.046,2,,,,,,,,,480,640,74.99999999994179
1787759949994,39.99981942,-83.01158945,16.84593020702896,1787759945104,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"park bench",0.044,3,,,,,,,,,480,640,74.99999999994179
1787759950752,39.99981942,-83.01158945,16.84593020702896,1787759945104,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"maze, labyrinth",0.064,1,,,,,,,,,480,640,53
1787759950752,39.99981942,-83.01158945,16.84593020702896,1787759945104,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"sundial",0.062,2,,,,,,,,,480,640,53
1787759950752,39.99981942,-83.01158945,16.84593020702896,1787759945104,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"unicycle, monocycle",0.046,3,,,,,,,,,480,640,53
1787759951530,39.99981292,-83.01159373,17.309851035008453,1787759948110,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"fountain",0.072,1,,,,,,,,,480,640,62.99999999994179
1787759951530,39.99981292,-83.01159373,17.309851035008453,1787759948110,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"park bench",0.045,2,,,,,,,,,480,640,62.99999999994179
1787759951530,39.99981292,-83.01159373,17.309851035008453,1787759948110,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"maze, labyrinth",0.044,3,,,,,,,,,480,640,62.99999999994179
1787759952312,39.99981292,-83.01159373,17.309851035008453,1787759948110,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"park bench",0.076,1,,,,,,,,,480,640,63
1787759952312,39.99981292,-83.01159373,17.309851035008453,1787759948110,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"maze, labyrinth",0.058,2,,,,,,,,,480,640,63
1787759952312,39.99981292,-83.01159373,17.309851035008453,1787759948110,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"unicycle, monocycle",0.049,3,,,,,,,,,480,640,63
