x,z,label,confidence
0.0,-0.0,person,0.999
0.0,-0.0,park bench,0.479
-0.01022903104271501,-0.003339584209144131,park bench,0.385
-3.669665017703801,-0.4074293360024158,park bench,0.413
-3.669665017703801,-0.4074293360024158,unicycle monocycle,0.461
-3.7267771090046007,-0.4107689210025325,mountain bike all-terrain bike off-roader,0.414
-3.7267771090046007,-0.4107689210025325,oxcart,0.095
-1.387738594057003,0.07013127946564252,park bench,0.219
-1.387738594057003,0.07013127946564252,oxcart,0.088
-1.387738594057003,0.07013127946564252,valley vale,0.086
-0.8404854144956598,0.12356463472167416,park bench,0.078
-0.8404854144956598,0.12356463472167416,lakeside lakeshore,0.047
-4.428318180223659,-0.3695807091649836,park bench,0.093
-5.302047946516663,-0.9662531801455331,park bench,0.075
-5.302047946516663,-0.9662531801455331,oxcart,0.091
0.7560959050620192,1.6942826500570565,park bench,0.106
0.7560959050620192,1.6942826500570565,oxcart,0.113
1.8787321022777335,2.038259876594063,oxcart,0.087
1.8787321022777335,2.038259876594063,park bench,0.096
1.8787321022777335,2.038259876594063,sandbar sand bar,0.126
-4.418089149180944,4.656494299959065,sandbar sand bar,0.092
-4.418089149180944,4.656494299959065,lakeside lakeshore,0.112
-4.418089149180944,4.656494299959065,park bench,0.051
1.7841135618013777,2.0738821134314174,park bench,0.087
1.7841135618013777,2.0738821134314174,oxcart,0.073
2.3296619026537084,2.921023438855432,park bench,0.061
2.3296619026537084,2.921023438855432,oxcart,0.162
11.442876467608613,9.180518405987117,park bench,0.142
11.442876467608613,9.180518405987117,oxcart,0.154
11.929607879662491,9.91634024010794,park bench,0.105
11.929607879662491,9.91634024010794,suspension bridge,0.072
11.929607879662491,9.91634024010794,oxcart,0.113
0.8814015398778806,8.803145331821861,park bench,0.092
0.8814015398778806,8.803145331821861,patio terrace,0.097
0.8814015398778806,8.803145331821861,sandbar sand bar,0.087
0.8814015398778806,8.803145331821861,oxcart,0.195
0.6299378502859713,8.775315459193806,oxcart,0.067
5.054846354302965,6.2227595352942915,oxcart,0.127
5.054846354302965,6.2227595352942915,park bench,0.07
5.054846354302965,6.2227595352942915,leatherback turtle leatherback leathery turtle Dermochelys coriacea,0.054
5.318243912435242,6.361908899225537,sandbar sand bar,0.08
5.318243912435242,6.361908899225537,park bench,0.095
3.1062158710125183,11.192061604162191,oxcart,0.058
3.1062158710125183,11.192061604162191,park bench,0.09
3.1062158710125183,11.192061604162191,lakeside lakeshore,0.051
2.7541667060683896,11.80543199856138,mountain bike all-terrain bike off-roader,0.137
2.7541667060683896,11.80543199856138,park bench,0.134
2.2503869093471054,18.436734065649098,park bench,0.217
2.2503869093471054,18.436734065649098,lakeside lakeshore,0.08
1.9205006464087802,18.669391800882913,park bench,0.154
1.9205006464087802,18.669391800882913,mountain bike all-terrain bike off-roader,0.155
2.1804885283343918,24.629437338315256,park bench,0.206
2.1804885283343918,24.629437338315256,sandbar sand bar,0.102
2.100361116278963,25.4609939345297,sandbar sand bar,0.107
2.100361116278963,25.4609939345297,park bench,0.102
14.89858424489606,12.4410662913794,park bench,0.098
15.959846253432763,11.557189534117992,park bench,0.133
15.959846253432763,11.557189534117992,sandbar sand bar,0.101
12.509252992272353,25.026847920108295,lakeside lakeshore,0.07
12.509252992272353,25.026847920108295,park bench,0.084
13.332690020889247,25.83280103369476,mountain bike all-terrain bike off-roader,0.274
13.332690020889247,25.83280103369476,park bench,0.072
13.332690020889247,25.83280103369476,lakeside lakeshore,0.07
10.818905552198505,35.417409190684175,lakeside lakeshore,0.139
10.818905552198505,35.417409190684175,park bench,0.093
4.664438321434455,50.9531573258966,park bench,0.133
4.664438321434455,50.9531573258966,lakeside lakeshore,0.123
6.940397810205389,60.370786247117685,park bench,0.328
8.496063003169487,67.85924839304782,park bench,0.337
8.241189637370912,68.6596355316341,park bench,0.662
8.241189637370912,68.6596355316341,unicycle monocycle,0.477
8.241189637370912,68.6596355316341,mountain bike all-terrain bike off-roader,0.23
8.414230752405045,73.77253974364243,unicycle monocycle,0.247
8.414230752405045,73.77253974364243,park bench,0.203
8.414230752405045,73.77253974364243,sandbar sand bar,0.253
8.310235599634801,75.91543994153945,sandbar sand bar,0.095
