timestamp,lat,lon,gps_accuracy,gps_timestamp,model,dtype,device,label,confidence,rank,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,bbox_norm_xmin,bbox_norm_ymin,bbox_norm_xmax,bbox_norm_ymax,frame_w,frame_h,inference_ms
1788567598416,40.02512347,-83.02079900,45.746926253052095,1788567593422,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"worm fence, snake fence, snake-rail fence, Virginia fence",0.046,3,,,,,,,,,480,640,54
1788567599184,40.02512347,-83.02079900,45.746926253052095,1788567593422,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.197,1,,,,,,,,,480,640,54
1788567599184,40.02512347,-83.02079900,45.746926253052095,1788567593422,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"megalith, megalithic structure",0.069,2,,,,,,,,,480,640,54
1788567599184,40.02512347,-83.02079900,45.746926253052095,1788567593422,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"stone wall",0.045,3,,,,,,,,,480,640,54
1788567599960,40.02491506,-83.02089366,41.95655506399244,1788567596928,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.189,1,,,,,,,,,480,640,63.999999999883585
1788567599960,40.02491506,-83.02089366,41.95655506399244,1788567596928,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"balloon",0.055,2,,,,,,,,,480,640,63.999999999883585
1788567599960,40.02491506,-83.02089366,41.95655506399244,1788567596928,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"hay",0.024,3,,,,,,,,,480,640,63.999999999883585
1788567600741,40.02491506,-83.02089366,41.95655506399244,1788567596928,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"rapeseed",0.241,1,,,,,,,,,480,640,63
1788567600741,40.02491506,-83.02089366,41.95655506399244,1788567596928,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.097,2,,,,,,,,,480,640,63
1788567600741,40.02491506,-83.02089366,41.95655506399244,1788567596928,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"megalith, megalithic structure",0.061,3,,,,,,,,,480,640,63
1788567601531,40.02491506,-83.02089366,41.95655506399244,1788567596928,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.175,1,,,,,,,,,480,640,72
1788567601531,40.02491506,-83.02089366,41.95655506399244,1788567596928,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"megalith, megalithic structure",0.061,2,,,,,,,,,480,640,72
1788567601531,40.02491506,-83.02089366,41.95655506399244,1788567596928,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"stone wall",0.046,3,,,,,,,,,480,640,72
1788567602315,40.02491506,-83.02089366,41.95655506399244,1788567596928,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.166,1,,,,,,,,,480,640,69
1788567602315,40.02491506,-83.02089366,41.95655506399244,1788567596928,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"megalith, megalithic structure",0.074,2,,,,,,,,,480,640,69
1788567602315,40.02491506,-83.02089366,41.95655506399244,1788567596928,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"rapeseed",0.066,3,,,,,,,,,480,640,69
1788567603096,40.02500936,-83.02076098,40.81353306864123,1788567599431,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.149,1,,,,,,,,,480,640,71
1788567603096,40.02500936,-83.02076098,40.81353306864123,1788567599431,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"rapeseed",0.074,2,,,,,,,,,480,640,71
1788567603096,40.02500936,-83.02076098,40.81353306864123,1788567599431,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"lakeside, lakeshore",0.070,3,,,,,,,,,480,640,71
1788567603877,40.02500936,-83.02076098,40.81353306864123,1788567599431,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.182,1,,,,,,,,,480,640,70.00000000011642
1788567603877,40.02500936,-83.02076098,40.81353306864123,1788567599431,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"megalith, megalithic structure",0.072,2,,,,,,,,,480,640,70.00000000011642
1788567603877,40.02500936,-83.02076098,40.81353306864123,1788567599431,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"lakeside, lakeshore",0.053,3,,,,,,,,,480,640,70.00000000011642
1788567604622,40.02500936,-83.02076098,40.81353306864123,1788567599431,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.275,1,,,,,,,,,480,640,37
1788567604622,40.02500936,-83.02076098,40.81353306864123,1788567599431,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"megalith, megalithic structure",0.042,2,,,,,,,,,480,640,37
1788567604622,40.02500936,-83.02076098,40.81353306864123,1788567599431,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"lakeside, lakeshore",0.041,3,,,,,,,,,480,640,37
1788567605372,40.02500936,-83.02076098,40.81353306864123,1788567599431,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.320,1,,,,,,,,,480,640,37
1788567605372,40.02500936,-83.02076098,40.81353306864123,1788567599431,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"megalith, megalithic structure",0.063,2,,,,,,,,,480,640,37
1788567605372,40.02500936,-83.02076098,40.81353306864123,1788567599431,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"radio telescope, radio reflector",0.037,3,,,,,,,,,480,640,37
1788567606124,40.02495849,-83.02081212,31.69960365738481,1788567602980,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.129,1,,,,,,,,,480,640,39
1788567606124,40.02495849,-83.02081212,31.69960365738481,1788567602980,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"megalith, megalithic structure",0.089,2,,,,,,,,,480,640,39
1788567606124,40.02495849,-83.02081212,31.69960365738481,1788567602980,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"lakeside, lakeshore",0.050,3,,,,,,,,,480,640,39
1788567606870,40.02495849,-83.02081212,31.69960365738481,1788567602980,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.104,1,,,,,,,,,480,640,35.999999999883585
1788567606870,40.02495849,-83.02081212,31.69960365738481,1788567602980,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"worm fence, snake fence, snake-rail fence, Virginia fence",0.095,2,,,,,,,,,480,640,35.999999999883585
1788567606870,40.02495849,-83.02081212,31.69960365738481,1788567602980,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"rapeseed",0.078,3,,,,,,,,,480,640,35.999999999883585
1788567607656,40.02495849,-83.02081212,31.69960365738481,1788567602980,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"golf ball",0.261,1,,,,,,,,,480,640,70.00000000011642
1788567607656,40.02495849,-83.02081212,31.69960365738481,1788567602980,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"megalith, megalithic structure",0.076,2,,,,,,,,,480,640,70.00000000011642
1788567607656,40.02495849,-83.02081212,31.69960365738481,1788567602980,onnx-community/mobilenetv4_conv_small.e2400_r224_in1k,fp16,webgpu,"balloon",0.044,3,,,,,,,,,480,640,70.00000000011642
